"Season","Name","LastName","FirstName","Number","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftOverall","GP","G","A","P","PlusMinus","PIM"
20152016,"Andrew Agozzino","Agozzino","Andrew",87,"COL","L","L","1991-01-03","Kleinburg","CAN","ON","CAN",70,187,NA,NA,NA,9,0,2,2,-1,0
20032004,"Johnathan Aitken","Aitken","Johnathan",56,"CHI","D","L","1978-05-24","Edmonton","CAN","AB","CAN",76,211,1996,1,8,41,0,1,1,-9,70
20122013,"Jason Akeson","Akeson","Jason",20,"PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,1,1,0,1,2,0
20132014,"Jason Akeson","Akeson","Jason",20,"PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,1,0,1,1,1,0
20142015,"Jason Akeson","Akeson","Jason",20,"PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,13,0,0,0,-1,8
20022003,"Tommy Albelin","Albelin","Tommy",6,"NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,37,1,6,7,10,6
20032004,"Tommy Albelin","Albelin","Tommy",6,"NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,45,1,3,4,7,4
20052006,"Tommy Albelin","Albelin","Tommy",6,"NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,36,0,6,6,4,2
20132014,"John Albert","Albert","John",70,"WPG","C","L","1989-01-19","Cleveland","USA","OH","USA",71,190,2007,6,175,9,1,0,1,-3,0
20052006,"Andrew Alberts","Alberts","Andrew",41,"BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,73,1,6,7,3,68
20062007,"Andrew Alberts","Alberts","Andrew",41,"BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,76,0,10,10,-15,124
20072008,"Andrew Alberts","Alberts","Andrew",41,"BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,35,0,2,2,4,39
20082009,"Andrew Alberts","Alberts","Andrew",41,"PHI","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,79,1,12,13,6,61
20092010,"Andrew Alberts","Alberts","Andrew",41,"CAR, VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,76,3,9,12,6,87
20102011,"Andrew Alberts","Alberts","Andrew",41,"VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,42,1,6,7,0,41
20112012,"Andrew Alberts","Alberts","Andrew",41,"VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,44,2,1,3,4,40
20122013,"Andrew Alberts","Alberts","Andrew",41,"VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,24,0,1,1,-7,32
20132014,"Andrew Alberts","Alberts","Andrew",41,"VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,10,0,0,0,1,0
20022003,"Nikita Alexeev","Alexeev","Nikita",34,"TBL","R","L","1981-12-27","Murmansk","RUS",NA,"RUS",78,227,2000,1,8,37,4,2,6,-6,8
20062007,"Nikita Alexeev","Alexeev","Nikita",34,"TBL, CHI","R","L","1981-12-27","Murmansk","RUS",NA,"RUS",78,227,2000,1,8,78,12,11,23,7,12
20022003,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,78,27,51,78,15,42
20032004,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,32,48,80,12,24
20052006,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,43,60,103,29,50
20062007,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,29,58,87,42,42
20072008,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,70,40,49,89,15,34
20082009,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,79,24,50,74,7,24
20092010,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,70,20,51,71,8,22
20102011,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,54,14,17,31,-19,18
20112012,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,75,27,32,59,16,18
20122013,"Daniel Alfredsson","Alfredsson","Daniel",11,"OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,47,10,16,26,1,33
20132014,"Daniel Alfredsson","Alfredsson","Daniel",11,"DET","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,68,18,31,49,2,10
20112012,"Akim Aliu","Aliu","Akim",29,"CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,2,2,1,3,3,12
20122013,"Akim Aliu","Aliu","Akim",29,"CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,5,0,0,0,-2,14
20022003,"Bobby Allen","Allen","Bobby",38,"EDM","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,1,0,0,0,0,0
20062007,"Bobby Allen","Allen","Bobby",38,"BOS","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,31,0,3,3,-1,10
20072008,"Bobby Allen","Allen","Bobby",38,"BOS","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,19,0,0,0,-2,2
20022003,"Bryan Allen","Allen","Bryan",6,"VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,48,5,3,8,8,73
20032004,"Bryan Allen","Allen","Bryan",6,"VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,74,2,5,7,-10,94
20052006,"Bryan Allen","Allen","Bryan",6,"VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,77,7,10,17,4,115
20062007,"Bryan Allen","Allen","Bryan",6,"FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,82,4,21,25,7,112
20072008,"Bryan Allen","Allen","Bryan",6,"FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,73,2,14,16,5,67
20082009,"Bryan Allen","Allen","Bryan",6,"FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,2,0,1,1,2,0
20092010,"Bryan Allen","Allen","Bryan",6,"FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,74,4,9,13,-8,99
20102011,"Bryan Allen","Allen","Bryan",6,"FLA, CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,72,4,13,17,-1,82
20112012,"Bryan Allen","Allen","Bryan",6,"CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,82,1,13,14,-1,76
20122013,"Bryan Allen","Allen","Bryan",6,"ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,41,0,6,6,1,34
20132014,"Bryan Allen","Allen","Bryan",6,"ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,68,0,10,10,20,75
20142015,"Bryan Allen","Allen","Bryan",6,"ANA, MTL","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,11,0,2,2,-2,6
20132014,"Conor Allen","Allen","Conor",NA,"NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,3,0,0,0,-1,0
20142015,"Conor Allen","Allen","Conor",NA,"NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,4,0,0,0,-1,4
20022003,"Jamie Allison","Allison","Jamie",33,"CBJ","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,48,0,1,1,-15,99
20032004,"Jamie Allison","Allison","Jamie",33,"NSH","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,47,0,3,3,-7,76
20052006,"Jamie Allison","Allison","Jamie",33,"NSH, FLA","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,27,0,1,1,-6,56
20022003,"Jason Allison","Allison","Jason",41,"LAK","C","R","1975-05-29","NorthYork","CAN","ON","CAN",75,215,1993,1,17,26,6,22,28,9,22
20052006,"Jason Allison","Allison","Jason",41,"TOR","C","R","1975-05-29","NorthYork","CAN","ON","CAN",75,215,1993,1,17,66,17,43,60,-18,76
20092010,"Cody Almond","Almond","Cody",12,"MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,7,1,0,1,-3,9
20102011,"Cody Almond","Almond","Cody",12,"MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,8,0,0,0,0,2
20112012,"Cody Almond","Almond","Cody",12,"MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,10,1,0,1,-5,15
20132014,"Adam Almquist","Almquist","Adam",53,"DET","D","L","1991-02-27","J√nk√ping","SWE",NA,"SWE",71,174,2009,7,210,2,1,0,1,-1,0
20142015,"Mark Alt","Alt","Mark",39,"PHI","D","R","1991-10-18","KansasCity","USA","MO","USA",76,201,2010,2,53,1,0,0,0,-1,0
20082009,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,30,1,4,5,-1,2
20092010,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,21,0,5,5,-2,8
20102011,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,82,2,10,12,14,24
20112012,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,82,1,16,17,12,29
20122013,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,48,1,4,5,-6,14
20132014,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,82,2,16,18,-7,26
20142015,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,82,5,16,21,14,20
20152016,"Karl Alzner","Alzner","Karl",27,"WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",74,214,2007,1,5,82,4,17,21,14,26
20022003,"Tony Amonte","Amonte","Tony",10,"PHX, PHI","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,72,20,31,51,0,28
20032004,"Tony Amonte","Amonte","Tony",10,"PHI","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,80,20,33,53,13,38
20052006,"Tony Amonte","Amonte","Tony",10,"CGY","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,80,14,28,42,3,43
20062007,"Tony Amonte","Amonte","Tony",10,"CGY","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,81,10,20,30,-4,40
20142015,"Josh Anderson","Anderson","Josh",34,"CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,6,0,1,1,-1,2
20152016,"Josh Anderson","Anderson","Josh",34,"CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,12,1,3,4,0,2
20122013,"Matt Anderson","Anderson","Matt",12,"NJD","R","R","1982-10-31","WestIslip","USA","NY","USA",71,195,NA,NA,NA,2,0,1,1,1,0
20112012,"Joakim Andersson","Andersson","Joakim",18,"DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,5,0,0,0,1,0
20122013,"Joakim Andersson","Andersson","Joakim",18,"DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,38,3,5,8,2,8
20132014,"Joakim Andersson","Andersson","Joakim",18,"DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,65,8,9,17,-11,12
20142015,"Joakim Andersson","Andersson","Joakim",18,"DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,68,3,5,8,-4,22
20152016,"Joakim Andersson","Andersson","Joakim",18,"DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,29,1,2,3,1,6
20102011,"Jonas Andersson","Andersson","Jonas",24,"VAN","R","L","1981-02-24","Lidingo","SWE",NA,"SWE",75,204,1999,2,33,4,0,0,0,1,0
20142015,"Andy Andreoff","Andreoff","Andy",15,"LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,203,2011,3,80,18,2,1,3,1,18
20152016,"Andy Andreoff","Andreoff","Andy",15,"LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,203,2011,3,80,60,8,2,10,1,76
20022003,"Dave Andreychuk","Andreychuk","Dave",25,"TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,72,20,14,34,-12,34
20032004,"Dave Andreychuk","Andreychuk","Dave",25,"TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,82,21,18,39,-9,42
20052006,"Dave Andreychuk","Andreychuk","Dave",25,"TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,42,6,12,18,-13,16
20142015,"Sven Andrighetto","Andrighetto","Sven",42,"MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,187,2013,3,86,12,2,1,3,0,0
20152016,"Sven Andrighetto","Andrighetto","Sven",42,"MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,187,2013,3,86,44,7,10,17,1,6
20112012,"Mike Angelidis","Angelidis","Mike",10,"TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,6,1,0,1,-1,5
20122013,"Mike Angelidis","Angelidis","Mike",10,"TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,1,0,0,0,0,0
20142015,"Mike Angelidis","Angelidis","Mike",10,"TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,3,0,0,0,0,12
20152016,"Mike Angelidis","Angelidis","Mike",10,"TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,4,1,0,1,2,5
20032004,"Melvin Angelstad","Angelstad","Melvin",69,"WSH","L","L","1971-10-31","Saskatoon","CAN","SK","CAN",75,210,NA,NA,NA,2,0,0,0,0,2
20082009,"Artem Anisimov","Anisimov","Artem",15,"NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,1,0,0,0,0,0
20092010,"Artem Anisimov","Anisimov","Artem",15,"NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,82,12,16,28,-2,32
20102011,"Artem Anisimov","Anisimov","Artem",15,"NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,82,18,26,44,3,20
20112012,"Artem Anisimov","Anisimov","Artem",15,"NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,79,16,20,36,12,34
20122013,"Artem Anisimov","Anisimov","Artem",15,"CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,35,11,7,18,-6,12
20132014,"Artem Anisimov","Anisimov","Artem",15,"CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,81,22,17,39,-2,20
20142015,"Artem Anisimov","Anisimov","Artem",15,"CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,52,7,20,27,-6,8
20152016,"Artem Anisimov","Anisimov","Artem",15,"CHI","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,77,20,22,42,8,12
20022003,"Nik Antropov","Antropov","Nik",80,"TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,72,16,29,45,11,124
20032004,"Nik Antropov","Antropov","Nik",80,"TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,62,13,18,31,7,62
20052006,"Nik Antropov","Antropov","Nik",80,"TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,57,12,19,31,13,56
20062007,"Nik Antropov","Antropov","Nik",80,"TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,54,18,15,33,8,44
20072008,"Nik Antropov","Antropov","Nik",80,"TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,72,26,30,56,10,92
20082009,"Nik Antropov","Antropov","Nik",80,"TOR, NYR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,81,28,31,59,-14,30
20092010,"Nik Antropov","Antropov","Nik",80,"ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,76,24,43,67,13,44
20102011,"Nik Antropov","Antropov","Nik",80,"ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,76,16,25,41,-17,42
20112012,"Nik Antropov","Antropov","Nik",80,"WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,69,15,20,35,0,42
20122013,"Nik Antropov","Antropov","Nik",80,"WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,40,6,12,18,6,16
20132014,"Darren Archibald","Archibald","Darren",49,"VAN","R","L","1990-02-09","Newmarket","CAN","ON","CAN",75,210,NA,NA,NA,16,1,2,3,1,0
20152016,"Josh Archibald","Archibald","Josh",45,"PIT","R","R","1992-10-06","Regina","CAN","SK","CAN",70,176,2011,6,174,1,0,0,0,0,0
20122013,"Mark Arcobello","Arcobello","Mark",33,"EDM","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,1,0,0,0,0,0
