"","X1","X2","X3","X4","X5"
"487","463","17","John Goodman","Tom Petty & the Heartbreakers","April 10, 1999 (1999-04-10)"
"488","464","18","Cuba Gooding Jr.","Ricky Martin","May 8, 1999 (1999-05-08)"
"489","465","19","Sarah Michelle Gellar","Backstreet Boys","May 15, 1999 (1999-05-15)"
"490","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"491","466","1","Jerry Seinfeld","David Bowie","October 2, 1999 (1999-10-02)"
"492","467","2","Heather Graham","Marc Anthony","October 16, 1999 (1999-10-16)"
"493","468","3","Norm Macdonald","Dr. Dre featuringSnoop Dogg & Eminem","October 23, 1999 (1999-10-23)"
"494","469","4","Dylan McDermott","Foo Fighters","November 6, 1999 (1999-11-06)"
"495","470","5","Garth Brooks","Garth Brooks as Chris Gaines","November 13, 1999 (1999-11-13)"
"496","471","6","Jennifer Aniston","Sting","November 20, 1999 (1999-11-20)"
"497","472","7","Christina Ricci","Beck","December 4, 1999 (1999-12-04)"
"498","473","8","Danny DeVito","R.E.M.","December 11, 1999 (1999-12-11)"
"499","474","9","Jamie Foxx","Blink-182","January 8, 2000 (2000-01-08)"
"500","475","10","Freddie Prinze, Jr.","Macy Gray","January 15, 2000 (2000-01-15)"
"501","476","11","Alan Cumming","Jennifer Lopez","February 5, 2000 (2000-02-05)"
"502","477","12","Julianna Margulies","DMX","February 12, 2000 (2000-02-12)"
"503","478","13","Ben Affleck","Fiona Apple","February 19, 2000 (2000-02-19)"
"504","479","14","Joshua Jackson","'N Sync","March 11, 2000 (2000-03-11)"
"505","480","15","The Rock (Dwayne Johnson)","AC/DC","March 18, 2000 (2000-03-18)"
"506","481","16","Christopher Walken","Christina Aguilera","April 8, 2000 (2000-04-08)"
"507","482","17","Tobey Maguire","Sisqó","April 15, 2000 (2000-04-15)"
"508","483","18","John Goodman","Neil Young","May 6, 2000 (2000-05-06)"
"509","484","19","Britney Spears","Britney Spears","May 13, 2000 (2000-05-13)"
"510","485","20","Jackie Chan","Kid Rock","May 20, 2000 (2000-05-20)"
"511","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"512","486","1","Rob Lowe","Eminem","October 7, 2000 (2000-10-07)"
"513","487","2","Kate Hudson","Radiohead","October 14, 2000 (2000-10-14)"
"514","488","3","Dana Carvey","The Wallflowers","October 21, 2000 (2000-10-21)"
"515","489","4","Charlize Theron","Paul Simon","November 4, 2000 (2000-11-04)"
"516","490","5","Calista Flockhart","Ricky Martin","November 11, 2000 (2000-11-11)"
"517","491","6","Tom Green","David Gray","November 18, 2000 (2000-11-18)"
"518","492","7","Val Kilmer","U2","December 9, 2000 (2000-12-09)"
"519","493","8","Lucy Liu","Jay-Z","December 16, 2000 (2000-12-16)"
"520","494","9","Charlie Sheen","Nelly Furtado","January 13, 2001 (2001-01-13)"
"521","495","10","Mena Suvari","Lenny Kravitz","January 20, 2001 (2001-01-20)"
"522","496","11","Jennifer Lopez","Jennifer Lopez","February 10, 2001 (2001-02-10)"
"523","497","12","Sean Hayes","Shaggy","February 17, 2001 (2001-02-17)"
"524","498","13","Katie Holmes","Dave Matthews Band","February 24, 2001 (2001-02-24)"
"525","499","14","Conan O'Brien","Don Henley","March 10, 2001 (2001-03-10)"
"526","500","15","Julia Stiles","Aerosmith","March 17, 2001 (2001-03-17)"
"527","501","16","Alec Baldwin","Coldplay","April 7, 2001 (2001-04-07)"
"528","502","17","Renée Zellweger","Eve","April 14, 2001 (2001-04-14)"
"529","503","18","Pierce Brosnan","Destiny's Child","May 5, 2001 (2001-05-05)"
"530","504","19","Lara Flynn Boyle","Bon Jovi","May 12, 2001 (2001-05-12)"
"531","505","20","Christopher Walken","Weezer","May 19, 2001 (2001-05-19)"
"532","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"533","506","1","Reese Witherspoon","Alicia Keys","September 29, 2001 (2001-09-29)"
"534","507","2","Seann William Scott","Sum 41","October 6, 2001 (2001-10-06)"
"535","508","3","Drew Barrymore","Macy Gray","October 13, 2001 (2001-10-13)"
"536","509","4","John Goodman","Ja Rule","November 3, 2001 (2001-11-03)"
"537","510","5","Gwyneth Paltrow","Ryan Adams","November 10, 2001 (2001-11-10)"
"538","511","6","Billy Bob Thornton","Creed","November 17, 2001 (2001-11-17)"
"539","512","7","Derek Jeter","ShakiraBubba Sparxxx","December 1, 2001 (2001-12-01)"
"540","513","8","Hugh Jackman","Mick Jagger","December 8, 2001 (2001-12-08)"
"541","514","9","Ellen DeGeneres","No Doubt","December 15, 2001 (2001-12-15)"
"542","515","10","Josh Hartnett","Pink","January 12, 2002 (2002-01-12)"
"543","516","11","Jack Black","The Strokes","January 19, 2002 (2002-01-19)"
"544","517","12","Britney Spears","Britney Spears","February 2, 2002 (2002-02-02)"
"545","518","13","Jonny Moseley","Outkast","March 2, 2002 (2002-03-02)"
"546","519","14","Jon Stewart","India.Arie","March 9, 2002 (2002-03-09)"
"547","520","15","Ian McKellen","Kylie Minogue","March 16, 2002 (2002-03-16)"
"548","521","16","Cameron Diaz","Jimmy Eat World","April 6, 2002 (2002-04-06)"
"549","522","17","Dwayne Johnson","Andrew W.K.","April 13, 2002 (2002-04-13)"
"550","523","18","Alec Baldwin","P.O.D.","April 20, 2002 (2002-04-20)"
"551","524","19","Kirsten Dunst","Eminem","May 11, 2002 (2002-05-11)"
"552","525","20","Winona Ryder","Moby","May 18, 2002 (2002-05-18)"
"553","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"554","526","1","Matt Damon","Bruce Springsteen & the E Street Band","October 5, 2002 (2002-10-05)"
"555","527","2","Sarah Michelle Gellar","Faith Hill","October 12, 2002 (2002-10-12)"
"556","528","3","John McCain","The White Stripes","October 19, 2002 (2002-10-19)"
"557","529","4","Eric McCormack","Jay-Z","November 2, 2002 (2002-11-02)"
"558","530","5","Nia Vardalos","Eve","November 9, 2002 (2002-11-09)"
"559","531","6","Brittany Murphy","Nelly","November 16, 2002 (2002-11-16)"
"560","532","7","Robert De Niro","Norah Jones","December 7, 2002 (2002-12-07)"
"561","533","8","Al Gore","Phish","December 14, 2002 (2002-12-14)"
"562","534","9","Jeff Gordon","Avril Lavigne","January 11, 2003 (2003-01-11)"
"563","535","10","Ray Liotta","The Donnas","January 18, 2003 (2003-01-18)"
"564","536","11","Matthew McConaughey","Dixie Chicks","February 8, 2003 (2003-02-08)"
"565","537","12","Jennifer Garner","Beck","February 15, 2003 (2003-02-15)"
"566","538","13","Christopher Walken","Foo Fighters","February 22, 2003 (2003-02-22)"
"567","539","14","Queen Latifah","Ms. Dynamite","March 8, 2003 (2003-03-08)"
"568","540","15","Salma Hayek","Christina Aguilera","March 15, 2003 (2003-03-15)"
"569","541","16","Bernie Mac","Good Charlotte","April 5, 2003 (2003-04-05)"
"570","542","17","Ray Romano","Zwan","April 12, 2003 (2003-04-12)"
"571","543","18","Ashton Kutcher","50 Cent","May 3, 2003 (2003-05-03)"
"572","544","19","Adrien Brody","Sean PaulWayne Wonder","May 10, 2003 (2003-05-10)"
"573","545","20","Dan Aykroyd","Beyoncé","May 17, 2003 (2003-05-17)"
"574","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"575","546","1","Jack Black","John Mayer","October 4, 2003 (2003-10-04)"
"576","547","2","Justin Timberlake","Justin Timberlake","October 11, 2003 (2003-10-11)"
"577","548","3","Halle Berry","Britney Spears","October 18, 2003 (2003-10-18)"
"578","549","4","Kelly Ripa","Outkast","November 1, 2003 (2003-11-01)"
"579","550","5","Andy Roddick","Dave Matthews & Friends","November 8, 2003 (2003-11-08)"
"580","551","6","Alec Baldwin","Missy Elliott","November 15, 2003 (2003-11-15)"
"581","552","7","Al Sharpton","Pink","December 6, 2003 (2003-12-06)"
"582","553","8","Elijah Wood","Jet","December 13, 2003 (2003-12-13)"
"583","554","9","Jennifer Aniston","The Black Eyed Peas","January 10, 2004 (2004-01-10)"
"584","555","10","Jessica Simpson & Nick Lachey","G-Unit","January 17, 2004 (2004-01-17)"
"585","556","11","Megan Mullally","Clay Aiken","February 7, 2004 (2004-02-07)"
"586","557","12","Drew Barrymore","Kelis","February 14, 2004 (2004-02-14)"
"587","558","13","Christina Aguilera","Maroon 5","February 21, 2004 (2004-02-21)"
"588","559","14","Colin Firth","Norah Jones","March 6, 2004 (2004-03-06)"
"589","560","15","Ben Affleck","N*E*R*D","March 13, 2004 (2004-03-13)"
"590","561","16","Donald Trump","Toots & the Maytals featuring Ben Harper, Jack Johnson, Bootsy Collins, and The Roots","April 3, 2004 (2004-04-03)"
"591","562","17","Janet Jackson","Janet Jackson","April 10, 2004 (2004-04-10)"
"592","563","18","Lindsay Lohan","Usher","May 1, 2004 (2004-05-01)"
"593","564","19","Snoop Dogg","Avril Lavigne","May 8, 2004 (2004-05-08)"
"594","565","20","Mary-Kate and Ashley Olsen","J-Kwon","May 15, 2004 (2004-05-15)"
"595","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"596","566","1","Ben Affleck","Nelly","October 2, 2004 (2004-10-02)"
"597","567","2","Queen Latifah","Queen Latifah","October 9, 2004 (2004-10-09)"
"598","568","3","Jude Law","Ashlee Simpson","October 23, 2004 (2004-10-23)"
"599","569","4","Kate Winslet","Eminem","October 30, 2004 (2004-10-30)"
"600","570","5","Liam Neeson","Modest Mouse","November 13, 2004 (2004-11-13)"
"601","571","6","Luke Wilson","U2","November 20, 2004 (2004-11-20)"
"602","572","7","Colin Farrell","Scissor Sisters","December 11, 2004 (2004-12-11)"
"603","573","8","Robert De Niro","Destiny's Child","December 18, 2004 (2004-12-18)"
"604","574","9","Topher Grace","The Killers","January 15, 2005 (2005-01-15)"
"605","575","10","Paul Giamatti","Ludacris featuring Sum 41","January 22, 2005 (2005-01-22)"
"606","576","11","Paris Hilton","Keane","February 5, 2005 (2005-02-05)"
"607","577","12","Jason Bateman","Kelly Clarkson","February 12, 2005 (2005-02-12)"
"608","578","13","Hilary Swank","50 Cent","February 19, 2005 (2005-02-19)"
"609","579","14","David Spade","Jack Johnson","March 12, 2005 (2005-03-12)"
"610","580","15","Ashton Kutcher","Gwen Stefani","March 19, 2005 (2005-03-19)"
"611","581","16","Cameron Diaz","Green Day","April 9, 2005 (2005-04-09)"
"612","582","17","Tom Brady","Beck","April 16, 2005 (2005-04-16)"
"613","583","18","Johnny Knoxville","System of a Down","May 7, 2005 (2005-05-07)"
"614","584","19","Will Ferrell","Queens of the Stone Age","May 14, 2005 (2005-05-14)"
"615","585","20","Lindsay Lohan","Coldplay","May 21, 2005 (2005-05-21)"
"616","No.
overall","No. in
season","Host","Musical guest","Original air date"
"617","586","1","Steve Carell","Kanye West","October 1, 2005 (2005-10-01)"
"618","587","2","Jon Heder","Ashlee Simpson","October 8, 2005 (2005-10-08)"
"619","588","3","Catherine Zeta-Jones","Franz Ferdinand","October 22, 2005 (2005-10-22)"
"620","589","4","Lance Armstrong","Sheryl Crow","October 29, 2005 (2005-10-29)"
"621","590","5","Jason Lee","Foo Fighters","November 12, 2005 (2005-11-12)"
"622","591","6","Eva Longoria","Korn","November 19, 2005 (2005-11-19)"
"623","592","7","Dane Cook","James Blunt","December 3, 2005 (2005-12-03)"
"624","593","8","Alec Baldwin","Shakira","December 10, 2005 (2005-12-10)"
"625","594","9","Jack Black","Neil Young","December 17, 2005 (2005-12-17)"
"626","595","10","Scarlett Johansson","Death Cab for Cutie","January 14, 2006 (2006-01-14)"
"627","596","11","Peter Sarsgaard","The Strokes","January 21, 2006 (2006-01-21)"
"628","597","12","Steve Martin","Prince","February 4, 2006 (2006-02-04)"
"629","598","13","Natalie Portman","Fall Out Boy","March 4, 2006 (2006-03-04)"
"630","599","14","Matt Dillon","Arctic Monkeys","March 11, 2006 (2006-03-11)"
"631","600","15","Antonio Banderas","Mary J. Blige","April 8, 2006 (2006-04-08)"
"632","601","16","Lindsay Lohan","Pearl Jam","April 15, 2006 (2006-04-15)"
"633","602","17","Tom Hanks","Red Hot Chili Peppers","May 6, 2006 (2006-05-06)"
"634","603","18","Julia Louis-Dreyfus","Paul Simon","May 13, 2006 (2006-05-13)"
"635","604","19","Kevin Spacey","Nelly Furtado","May 20, 2006 (2006-05-20)"
"636","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"637","605","1","Dane Cook","The Killers","September 30, 2006 (2006-09-30)"
"638","606","2","Jaime Pressly","Corinne Bailey Rae","October 7, 2006 (2006-10-07)"
"639","607","3","John C. Reilly","My Chemical Romance","October 21, 2006 (2006-10-21)"
"640","608","4","Hugh Laurie","Beck","October 28, 2006 (2006-10-28)"
"641","609","5","Alec Baldwin","Christina Aguilera","November 11, 2006 (2006-11-11)"
"642","610","6","Ludacris","Ludacris","November 18, 2006 (2006-11-18)"
"643","611","7","Matthew Fox","Tenacious D","December 2, 2006 (2006-12-02)"
"644","612","8","Annette Bening","Gwen Stefani and Akon","December 9, 2006 (2006-12-09)"
"645","613","9","Justin Timberlake","Justin Timberlake","December 16, 2006 (2006-12-16)"
"646","614","10","Jake Gyllenhaal","The Shins","January 13, 2007 (2007-01-13)"
"647","615","11","Jeremy Piven","AFI","January 20, 2007 (2007-01-20)"
"648","616","12","Drew Barrymore","Lily Allen","February 3, 2007 (2007-02-03)"
"649","617","13","Forest Whitaker","Keith Urban","February 10, 2007 (2007-02-10)"
"650","618","14","Rainn Wilson","Arcade Fire","February 24, 2007 (2007-02-24)"
"651","619","15","Julia Louis-Dreyfus","Snow Patrol","March 17, 2007 (2007-03-17)"
"652","620","16","Peyton Manning","Carrie Underwood","March 24, 2007 (2007-03-24)"
"653","621","17","Shia LaBeouf","Avril Lavigne","April 14, 2007 (2007-04-14)"
"654","622","18","Scarlett Johansson","Björk","April 21, 2007 (2007-04-21)"
"655","623","19","Molly Shannon","Linkin Park","May 12, 2007 (2007-05-12)"
"656","624","20","Zach Braff","Maroon 5","May 19, 2007 (2007-05-19)"
"657","No.
overall","No. in
season","Host","Musical guest","Original air date"
"658","625","1","LeBron James","Kanye West","September 29, 2007 (2007-09-29)"
"659","626","2","Seth Rogen","Spoon","October 6, 2007 (2007-10-06)"
"660","627","3","Jon Bon Jovi","Foo Fighters","October 13, 2007 (2007-10-13)"
"661","628","4","Brian Williams","Feist","November 3, 2007 (2007-11-03)"
"662","629","5","Tina Fey","Carrie Underwood","February 23, 2008 (2008-02-23)"
"663","630","6","Ellen Page","Wilco","March 1, 2008 (2008-03-01)"
"664","631","7","Amy Adams","Vampire Weekend","March 8, 2008 (2008-03-08)"
"665","632","8","Jonah Hill","Mariah Carey","March 15, 2008 (2008-03-15)"
"666","633","9","Christopher Walken","Panic! at the Disco","April 5, 2008 (2008-04-05)"
"667","634","10","Ashton Kutcher","Gnarls Barkley","April 12, 2008 (2008-04-12)"
"668","635","11","Shia LaBeouf","My Morning Jacket","May 10, 2008 (2008-05-10)"
"669","636","12","Steve Carell","Usher","May 17, 2008 (2008-05-17)"
"670","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"671","637","1","Michael Phelps","Lil Wayne","September 13, 2008 (2008-09-13)"
"672","638","2","James Franco","Kings of Leon","September 20, 2008 (2008-09-20)"
"673","639","3","Anna Faris","Duffy","September 27, 2008 (2008-09-27)"
"674","640","4","Anne Hathaway","The Killers","October 4, 2008 (2008-10-04)"
"675","641","5","Josh Brolin","Adele","October 18, 2008 (2008-10-18)"
"676","642","6","Jon Hamm","Coldplay","October 25, 2008 (2008-10-25)"
"677","643","7","Ben Affleck","David Cook","November 1, 2008 (2008-11-01)"
"678","644","8","Paul Rudd","Beyoncé","November 15, 2008 (2008-11-15)"
"679","645","9","Tim McGraw","Ludacris & T-Pain","November 22, 2008 (2008-11-22)"
"680","646","10","John Malkovich","T.I.","December 6, 2008 (2008-12-06)"
"681","647","11","Hugh Laurie","Kanye West","December 13, 2008 (2008-12-13)"
"682","648","12","Neil Patrick Harris","Taylor Swift","January 10, 2009 (2009-01-10)"
"683","649","13","Rosario Dawson","Fleet Foxes","January 17, 2009 (2009-01-17)"
"684","650","14","Steve Martin","Jason Mraz","January 31, 2009 (2009-01-31)"
"685","651","15","Bradley Cooper","TV on the Radio","February 7, 2009 (2009-02-07)"
"686","652","16","Alec Baldwin","Jonas Brothers","February 14, 2009 (2009-02-14)"
"687","653","17","Dwayne Johnson","Ray LaMontagne","March 7, 2009 (2009-03-07)"
"688","654","18","Tracy Morgan","Kelly Clarkson","March 14, 2009 (2009-03-14)"
"689","655","19","Seth Rogen","Phoenix","April 4, 2009 (2009-04-04)"
"690","656","20","Zac Efron","Yeah Yeah Yeahs","April 11, 2009 (2009-04-11)"
"691","657","21","Justin Timberlake","Ciara","May 9, 2009 (2009-05-09)"
"692","658","22","Will Ferrell","Green Day","May 16, 2009 (2009-05-16)"
"693","No.
overall","No. in
season","Host","Musical guest","Original air date"
"694","659","1","Megan Fox","U2","September 26, 2009 (2009-09-26)"
"695","660","2","Ryan Reynolds","Lady Gaga","October 3, 2009 (2009-10-03)"
"696","661","3","Drew Barrymore","Regina Spektor","October 10, 2009 (2009-10-10)"
"697","662","4","Gerard Butler","Shakira","October 17, 2009 (2009-10-17)"
"698","663","5","Taylor Swift","Taylor Swift","November 7, 2009 (2009-11-07)"
"699","664","6","January Jones","The Black Eyed Peas","November 14, 2009 (2009-11-14)"
"700","665","7","Joseph Gordon-Levitt","Dave Matthews Band","November 21, 2009 (2009-11-21)"
"701","666","8","Blake Lively","Rihanna","December 5, 2009 (2009-12-05)"
"702","667","9","Taylor Lautner","Bon Jovi","December 12, 2009 (2009-12-12)"
"703","668","10","James Franco","Muse","December 19, 2009 (2009-12-19)"
"704","669","11","Charles Barkley","Alicia Keys","January 9, 2010 (2010-01-09)"
"705","670","12","Sigourney Weaver","The Ting Tings","January 16, 2010 (2010-01-16)"
"706","671","13","Jon Hamm","Michael Bublé","January 30, 2010 (2010-01-30)"
"707","672","14","Ashton Kutcher","Them Crooked Vultures","February 6, 2010 (2010-02-06)"
"708","673","15","Jennifer Lopez","Jennifer Lopez","February 27, 2010 (2010-02-27)"
"709","674","16","Zach Galifianakis","Vampire Weekend","March 6, 2010 (2010-03-06)"
"710","675","17","Jude Law","Pearl Jam","March 13, 2010 (2010-03-13)"
"711","676","18","Tina Fey","Justin Bieber","April 10, 2010 (2010-04-10)"
"712","677","19","Ryan Phillippe","Ke$ha","April 17, 2010 (2010-04-17)"
"713","678","20","Gabourey Sidibe","MGMT","April 24, 2010 (2010-04-24)"
"714","679","21","Betty White","Jay-Z","May 8, 2010 (2010-05-08)"
"715","680","22","Alec Baldwin","Tom Petty and the Heartbreakers","May 15, 2010 (2010-05-15)"
"716","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"717","681","1","Amy Poehler","Katy Perry","September 25, 2010"
"718","682","2","Bryan Cranston","Kanye West","October 2, 2010"
"719","683","3","Jane Lynch","Bruno Mars","October 9, 2010"
"720","684","4","Emma Stone","Kings of Leon","October 23, 2010"
"721","685","5","Jon Hamm","Rihanna","October 30, 2010"
"722","686","6","Scarlett Johansson","Arcade Fire","November 13, 2010"
"723","687","7","Anne Hathaway","Florence + the Machine","November 20, 2010"
"724","688","8","Robert De Niro","Diddy-Dirty Money","December 4, 2010"
"725","689","9","Paul Rudd","Paul McCartney","December 11, 2010"
"726","690","10","Jeff Bridges","Eminem and Lil Wayne","December 18, 2010"
"727","691","11","Jim Carrey","The Black Keys","January 8, 2011"
"728","692","12","Gwyneth Paltrow","Cee Lo Green","January 15, 2011"
"729","693","13","Jesse Eisenberg","Nicki Minaj","January 29, 2011"
"730","694","14","Dana Carvey","Linkin Park","February 5, 2011"
"731","695","15","Russell Brand","Chris Brown","February 12, 2011"
"732","696","16","Miley Cyrus","The Strokes","March 5, 2011"
"733","697","17","Zach Galifianakis","Jessie J","March 12, 2011"
"734","698","18","Elton John","Elton John and Leon Russell","April 2, 2011"
"735","699","19","Helen Mirren","Foo Fighters","April 9, 2011"
"736","700","20","Tina Fey","Ellie Goulding","May 7, 2011"
"737","701","21","Ed Helms","Paul Simon","May 14, 2011"
"738","702","22","Justin Timberlake","Lady Gaga","May 21, 2011"
"739","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"740","703","1","Alec Baldwin","Radiohead","September 24, 2011"
"741","704","2","Melissa McCarthy","Lady Antebellum","October 1, 2011"
"742","705","3","Ben Stiller","Foster the People","October 8, 2011"
"743","706","4","Anna Faris","Drake","October 15, 2011"
"744","707","5","Charlie Day","Maroon 5","November 5, 2011"
"745","708","6","Emma Stone","Coldplay","November 12, 2011"
"746","709","7","Jason Segel","Florence + The Machine","November 19, 2011"
"747","710","8","Steve Buscemi","The Black Keys","December 3, 2011"
"748","711","9","Katy Perry","Robyn","December 10, 2011"
"749","712","10","Jimmy Fallon","Michael Bublé","December 17, 2011"
"750","713","11","Charles Barkley","Kelly Clarkson","January 7, 2012"
"751","714","12","Daniel Radcliffe","Lana Del Rey","January 14, 2012"
"752","715","13","Channing Tatum","Bon Iver","February 4, 2012"
"753","716","14","Zooey Deschanel","Karmin","February 11, 2012"
"754","717","15","Maya Rudolph","Sleigh Bells","February 18, 2012"
"755","718","16","Lindsay Lohan","Jack White","March 3, 2012"
"756","719","17","Jonah Hill","The Shins","March 10, 2012"
"757","720","18","Sofía Vergara","One Direction","April 7, 2012"
"758","721","19","Josh Brolin","Gotye","April 14, 2012"
"759","722","20","Eli Manning","Rihanna","May 5, 2012"
"760","723","21","Will Ferrell","Usher","May 12, 2012"
"761","724","22","Mick Jagger","Mick Jagger
(with Arcade Fire, Foo Fighters, Jeff Beck)","May 19, 2012"
"762","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"763","725","1","Seth MacFarlane","Frank Ocean","September 15, 2012 (2012-09-15)"
"764","726","2","Joseph Gordon-Levitt","Mumford & Sons","September 22, 2012 (2012-09-22)"
"765","727","3","Daniel Craig","Muse","October 6, 2012 (2012-10-06)"
"766","728","4","Christina Applegate","Passion Pit","October 13, 2012 (2012-10-13)"
"767","729","5","Bruno Mars","Bruno Mars","October 20, 2012 (2012-10-20)"
"768","730","6","Louis C.K.","fun.","November 3, 2012 (2012-11-03)"
"769","731","7","Anne Hathaway","Rihanna","November 10, 2012 (2012-11-10)"
"770","732","8","Jeremy Renner","Maroon 5","November 17, 2012 (2012-11-17)"
"771","733","9","Jamie Foxx","Ne-Yo","December 8, 2012 (2012-12-08)"
"772","734","10","Martin Short","Paul McCartney","December 15, 2012 (2012-12-15)"
"773","735","11","Jennifer Lawrence","The Lumineers","January 19, 2013 (2013-01-19)"
"774","736","12","Adam Levine","Kendrick Lamar","January 26, 2013 (2013-01-26)"
"775","737","13","Justin Bieber","Justin Bieber","February 9, 2013 (2013-02-09)"
"776","738","14","Christoph Waltz","Alabama Shakes","February 16, 2013 (2013-02-16)"
"777","739","15","Kevin Hart","Macklemore and Ryan Lewis","March 2, 2013 (2013-03-02)"
"778","740","16","Justin Timberlake","Justin Timberlake","March 9, 2013 (2013-03-09)"
"779","741","17","Melissa McCarthy","Phoenix","April 6, 2013 (2013-04-06)"
"780","742","18","Vince Vaughn","Miguel","April 13, 2013 (2013-04-13)"
"781","743","19","Zach Galifianakis","Of Monsters and Men","May 4, 2013 (2013-05-04)"
"782","744","20","Kristen Wiig","Vampire Weekend","May 11, 2013 (2013-05-11)"
"783","745","21","Ben Affleck","Kanye West","May 18, 2013 (2013-05-18)"
"784","No.
overall","No. in
season","Host","Musical guest","Original air date"
"785","746","1","Tina Fey","Arcade Fire","September 28, 2013 (September 28, 2013)"
"786","747","2","Miley Cyrus","Miley Cyrus","October 5, 2013 (2013-10-05)"
"787","748","3","Bruce Willis","Katy Perry","October 12, 2013 (2013-10-12)"
"788","749","4","Edward Norton","Janelle Monáe","October 26, 2013 (2013-10-26)"
"789","750","5","Kerry Washington","Eminem","November 2, 2013 (2013-11-02)"
"790","751","6","Lady Gaga","Lady Gaga","November 16, 2013 (2013-11-16)"
"791","752","7","Josh Hutcherson","HAIM","November 23, 2013 (2013-11-23)"
"792","753","8","Paul Rudd","One Direction","December 7, 2013 (2013-12-07)"
"793","754","9","John Goodman","Kings of Leon","December 14, 2013 (2013-12-14)"
"794","755","10","Jimmy Fallon","Justin Timberlake","December 21, 2013 (2013-12-21)"
"795","756","11","Drake","Drake","January 18, 2014 (2014-01-18)"
"796","757","12","Jonah Hill","Bastille","January 25, 2014 (2014-01-25)"
"797","758","13","Melissa McCarthy","Imagine Dragons","February 1, 2014 (2014-02-01)"
"798","759","14","Jim Parsons","Beck","March 1, 2014 (2014-03-01)"
"799","760","15","Lena Dunham","The National","March 8, 2014 (2014-03-08)"
"800","761","16","Louis C.K.","Sam Smith","March 29, 2014 (2014-03-29)"
"801","762","17","Anna Kendrick","Pharrell Williams","April 5, 2014 (2014-04-05)"
"802","763","18","Seth Rogen","Ed Sheeran","April 12, 2014 (2014-04-12)"
"803","764","19","Andrew Garfield","Coldplay","May 3, 2014 (2014-05-03)"
"804","765","20","Charlize Theron","The Black Keys","May 10, 2014 (2014-05-10)"
"805","766","21","Andy Samberg","St. Vincent","May 17, 2014 (2014-05-17)"
"806","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"807","767","1","Chris Pratt","Ariana Grande","September 27, 2014 (2014-09-27)"
"808","768","2","Sarah Silverman","Maroon 5","October 4, 2014 (2014-10-04)"
"809","769","3","Bill Hader","Hozier","October 11, 2014 (2014-10-11)"
"810","770","4","Jim Carrey","Iggy Azalea","October 25, 2014 (2014-10-25)"
"811","771","5","Chris Rock","Prince","November 1, 2014 (2014-11-01)"
"812","772","6","Woody Harrelson","Kendrick Lamar","November 15, 2014 (2014-11-15)"
"813","773","7","Cameron Diaz","Mark Ronson and Bruno Mars","November 22, 2014 (2014-11-22)"
"814","774","8","James Franco","Nicki Minaj","December 6, 2014 (2014-12-06)"
"815","775","9","Martin Freeman","Charli XCX","December 13, 2014 (2014-12-13)"
"816","776","10","Amy Adams","One Direction","December 20, 2014 (2014-12-20)"
"817","777","11","Kevin Hart","Sia","January 17, 2015 (2015-01-17)"
"818","778","12","Blake Shelton","Blake Shelton","January 24, 2015 (2015-01-24)"
"819","779","13","J. K. Simmons","D'Angelo","January 31, 2015 (2015-01-31)"
"820","780","14","Dakota Johnson","Alabama Shakes","February 28, 2015 (2015-02-28)"
"821","781","15","Chris Hemsworth","Zac Brown Band","March 7, 2015 (2015-03-07)"
"822","782","16","Dwayne Johnson","George Ezra","March 28, 2015 (2015-03-28)"
"823","783","17","Michael Keaton","Carly Rae Jepsen","April 4, 2015 (2015-04-04)"
"824","784","18","Taraji P. Henson","Mumford & Sons","April 11, 2015 (2015-04-11)"
"825","785","19","Scarlett Johansson","Wiz Khalifa","May 2, 2015 (2015-05-02)"
"826","786","20","Reese Witherspoon","Florence + the Machine","May 9, 2015 (2015-05-09)"
"827","787","21","Louis C.K.","Rihanna","May 16, 2015 (2015-05-16)"
"828","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"829","788","1","Miley Cyrus","Miley Cyrus","October 3, 2015 (2015-10-03)"
"830","789","2","Amy Schumer","The Weeknd","October 10, 2015 (2015-10-10)"
"831","790","3","Tracy Morgan","Demi Lovato","October 17, 2015 (2015-10-17)"
"832","791","4","Donald Trump","Sia","November 7, 2015 (2015-11-07)"
"833","792","5","Elizabeth Banks","Disclosure","November 14, 2015 (2015-11-14)"
"834","793","6","Matthew McConaughey","Adele","November 21, 2015 (2015-11-21)"
"835","794","7","Ryan Gosling","Leon Bridges","December 5, 2015 (2015-12-05)"
"836","795","8","Chris Hemsworth","Chance the Rapper","December 12, 2015 (2015-12-12)"
"837","796","9","Tina Fey & Amy Poehler","Bruce Springsteen & the E Street Band","December 19, 2015 (2015-12-19)"
