"Season","Name","LastName","FirstName","Number","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftOverall","GP","Started","W","L","Ties","OTL"
20112012,"Richard Bachman","Bachman","Richard",32,"DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,18,15,8,5,0,1
20122013,"Richard Bachman","Bachman","Richard",32,"DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,13,8,6,5,0,0
20132014,"Richard Bachman","Bachman","Richard",32,"EDM","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,3,3,0,2,0,1
20142015,"Richard Bachman","Bachman","Richard",32,"EDM","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,7,4,3,2,0,0
20152016,"Richard Bachman","Bachman","Richard",32,"VAN","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,1,1,1,0,0,0
20092010,"Johan Backlund","Backlund","Johan",30,"PHI","G","L","1981-07-24","Skellefte√","SWE",NA,"SWE",74,198,NA,NA,NA,1,1,0,1,0,0
20062007,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,41,36,23,8,0,6
20072008,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,58,57,33,13,0,8
20082009,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,71,71,37,24,0,8
20092010,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,60,58,26,23,0,8
20102011,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,51,50,22,23,0,5
20112012,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,46,45,19,18,0,7
20122013,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,42,41,24,15,0,3
20132014,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,21,19,5,11,0,2
20142015,"Niklas Backstrom","Backstrom","Niklas",32,"MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,19,14,5,7,0,3
20152016,"Niklas Backstrom","Backstrom","Niklas",32,"CGY","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,4,3,2,2,0,0
20022003,"Tom Barrasso","Barrasso","Tom",30,"STL","G","R","1965-03-31","Boston","USA","MA","USA",75,210,1983,1,5,6,6,1,4,0,0
20072008,"Chris Beckford-Tseu","Beckford-Tseu","Chris",31,"STL","G","L","1984-06-22","Toronto","CAN","ON","CAN",75,201,2003,5,159,1,0,0,0,0,0
20022003,"Ed Belfour","Belfour","Ed",20,"TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,62,62,37,20,5,0
20032004,"Ed Belfour","Belfour","Ed",20,"TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,59,58,34,19,6,0
20052006,"Ed Belfour","Belfour","Ed",20,"TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,49,49,22,22,0,4
20062007,"Ed Belfour","Belfour","Ed",20,"FLA","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,58,54,27,17,0,10
20052006,"Adam Berkhoel","Berkhoel","Adam",33,"ATL","G","L","1981-05-16","StPaul","USA","MN","USA",71,185,2000,8,240,9,7,2,4,0,1
20072008,"Jonathan Bernier","Bernier","Jonathan",1,"LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,4,4,1,3,0,0
20092010,"Jonathan Bernier","Bernier","Jonathan",1,"LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,3,3,3,0,0,0
20102011,"Jonathan Bernier","Bernier","Jonathan",1,"LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,25,22,11,8,0,3
20112012,"Jonathan Bernier","Bernier","Jonathan",1,"LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,16,13,5,6,0,2
20122013,"Jonathan Bernier","Bernier","Jonathan",1,"LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,14,12,9,3,0,1
20132014,"Jonathan Bernier","Bernier","Jonathan",1,"TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,55,49,26,19,0,7
20142015,"Jonathan Bernier","Bernier","Jonathan",1,"TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,58,55,21,28,0,7
20152016,"Jonathan Bernier","Bernier","Jonathan",1,"TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,38,36,12,21,0,3
20132014,"Reto Berra","Berra","Reto",20,"CGY, COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,31,29,9,18,0,3
20142015,"Reto Berra","Berra","Reto",20,"COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,19,12,5,4,0,1
20152016,"Reto Berra","Berra","Reto",20,"COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,14,12,5,8,0,0
20152016,"Jean-Francois Berube","Berube","Jean-Francois",30,"NYI","G","L","1991-07-13","Repentigny","CAN","QC","CAN",73,177,2009,4,95,7,6,3,2,0,1
20022003,"Zac Bierk","Bierk","Zac",35,"PHX","G","L","1976-09-17","Peterborough","CAN","ON","CAN",77,205,1995,9,212,16,15,4,9,1,0
20032004,"Zac Bierk","Bierk","Zac",35,"PHX","G","L","1976-09-17","Peterborough","CAN","ON","CAN",77,205,1995,9,212,4,4,0,1,2,0
20022003,"Craig Billington","Billington","Craig",1,"WSH","G","L","1966-09-11","London","CAN","ON","CAN",70,168,1984,2,23,5,5,1,3,1,0
20152016,"Jordan Binnington","Binnington","Jordan",50,"STL","G","L","1993-07-11","RichmondHill","CAN","ON","CAN",73,167,2011,3,88,1,0,0,0,0,0
20022003,"Martin Biron","Biron","Martin",43,"BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,54,53,17,28,6,0
20032004,"Martin Biron","Biron","Martin",43,"BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,52,49,26,18,5,0
20052006,"Martin Biron","Biron","Martin",43,"BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,35,29,21,8,0,3
20062007,"Martin Biron","Biron","Martin",43,"BUF, PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,35,34,18,12,0,3
20072008,"Martin Biron","Biron","Martin",43,"PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,62,59,30,20,0,9
20082009,"Martin Biron","Biron","Martin",43,"PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,55,53,29,19,0,5
20092010,"Martin Biron","Biron","Martin",43,"NYI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,29,26,9,14,0,4
20102011,"Martin Biron","Biron","Martin",43,"NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,17,15,8,6,0,0
20112012,"Martin Biron","Biron","Martin",43,"NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,21,20,12,6,0,2
20122013,"Martin Biron","Biron","Martin",43,"NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,6,5,2,2,0,1
20132014,"Martin Biron","Biron","Martin",43,"NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,2,1,0,1,0,0
20082009,"Ben Bishop","Bishop","Ben",30,"STL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,6,3,1,1,0,1
20102011,"Ben Bishop","Bishop","Ben",30,"STL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,7,5,3,4,0,0
20112012,"Ben Bishop","Bishop","Ben",30,"OTT","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,10,9,3,3,0,2
20122013,"Ben Bishop","Bishop","Ben",30,"OTT, TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,22,21,11,9,0,1
20132014,"Ben Bishop","Bishop","Ben",30,"TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,63,63,37,14,0,7
20142015,"Ben Bishop","Bishop","Ben",30,"TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,62,60,40,13,0,5
20152016,"Ben Bishop","Bishop","Ben",30,"TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,61,60,35,21,0,4
20022003,"Dan Blackburn","Blackburn","Dan",31,"NYR","G","L","1983-05-20","Montreal","CAN","QC","CAN",73,180,2001,1,10,32,27,8,16,4,0
20102011,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,54,52,28,13,0,8
20112012,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,29,25,14,10,0,2
20122013,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,38,37,21,11,0,6
20132014,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,58,58,32,20,0,5
20142015,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,51,49,30,17,0,3
20152016,"Sergei Bobrovsky","Bobrovsky","Sergei",72,"CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,199,NA,NA,NA,37,37,15,19,0,1
20022003,"Brian Boucher","Boucher","Brian",33,"PHX","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,45,40,15,20,8,0
20032004,"Brian Boucher","Boucher","Brian",33,"PHX","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,40,38,10,19,10,0
20052006,"Brian Boucher","Boucher","Brian",33,"PHX, CGY","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,14,11,4,8,0,0
20062007,"Brian Boucher","Boucher","Brian",33,"CHI, CBJ","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,18,16,2,11,0,3
20072008,"Brian Boucher","Boucher","Brian",33,"SJS","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,5,3,3,1,0,1
20082009,"Brian Boucher","Boucher","Brian",33,"SJS","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,22,20,12,6,0,3
20092010,"Brian Boucher","Boucher","Brian",33,"PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,33,26,9,18,0,3
20102011,"Brian Boucher","Boucher","Brian",33,"PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,34,29,18,10,0,4
20112012,"Brian Boucher","Boucher","Brian",33,"CAR","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,10,8,1,6,0,1
20122013,"Brian Boucher","Boucher","Brian",33,"PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,4,1,0,2,0,0
20022003,"Fred Brathwaite","Brathwaite","Fred",40,"STL","G","L","1972-11-24","Ottawa","CAN","ON","CAN",67,185,NA,NA,NA,30,23,12,9,4,0
20032004,"Fred Brathwaite","Brathwaite","Fred",40,"CBJ","G","L","1972-11-24","Ottawa","CAN","ON","CAN",67,185,NA,NA,NA,21,17,4,11,1,0
20032004,"Martin Brochu","Brochu","Martin",50,"PIT","G","L","1973-03-10","Anjou","CAN","QC","CAN",72,199,NA,NA,NA,1,0,0,0,0,0
20022003,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,73,73,41,23,9,0
20032004,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,75,75,38,26,11,0
20052006,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,73,73,43,23,0,7
20062007,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,78,78,48,23,0,7
20072008,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,77,77,44,27,0,6
20082009,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,31,30,19,9,0,3
20092010,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,77,76,45,25,0,6
20102011,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,56,54,23,26,0,3
20112012,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,59,59,31,21,0,4
20122013,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,29,29,13,9,0,7
20132014,"Martin Brodeur","Brodeur","Martin",30,"NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,39,39,19,14,0,6
20142015,"Martin Brodeur","Brodeur","Martin",30,"STL","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,7,5,3,3,0,0
20092010,"Mike Brodeur","Brodeur","Mike",29,"OTT","G","L","1983-03-30","Calgary","CAN","AB","CAN",74,185,2003,7,211,3,3,3,0,0,0
20102011,"Mike Brodeur","Brodeur","Mike",29,"OTT","G","L","1983-03-30","Calgary","CAN","AB","CAN",74,185,2003,7,211,4,1,0,1,0,0
20142015,"Laurent Brossoit","Brossoit","Laurent",1,"EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,202,2011,6,164,1,1,0,1,0,0
20152016,"Laurent Brossoit","Brossoit","Laurent",1,"EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,202,2011,6,164,5,5,0,4,0,1
20062007,"Barry Brust","Brust","Barry",32,"LAK","G","L","1983-08-08","SwanRiver","CAN","MB","CAN",74,225,2002,3,73,11,7,2,4,0,1
20022003,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,0,0,0,0,0,0
20032004,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,1,1,1,0,0,0
20052006,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,31,24,13,12,0,1
20062007,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,27,26,10,8,0,6
20072008,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA, PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,64,62,28,25,0,6
20082009,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,65,63,26,31,0,6
20092010,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,69,69,42,20,0,6
20102011,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,68,67,36,20,0,10
20112012,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"PHI","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,59,57,33,16,0,7
20122013,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"PHI","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,40,40,19,17,0,3
20132014,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"EDM, MIN","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,32,30,12,9,0,8
20142015,"Ilya Bryzgalov","Bryzgalov","Ilya",80,"ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,8,6,1,4,0,1
20052006,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,34,29,14,10,0,6
20062007,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,57,53,31,16,0,6
20072008,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,35,30,16,10,0,4
20082009,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,56,55,20,29,0,5
20092010,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,15,11,5,5,0,2
20102011,"Peter Budaj","Budaj","Peter",31,"COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,45,39,15,21,0,4
20112012,"Peter Budaj","Budaj","Peter",31,"MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,17,17,5,7,0,5
20122013,"Peter Budaj","Budaj","Peter",31,"MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,13,10,8,1,0,1
20132014,"Peter Budaj","Budaj","Peter",31,"MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,24,21,10,8,0,3
20152016,"Peter Budaj","Budaj","Peter",31,"LAK","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,192,2001,2,63,1,1,1,0,0,0
20142015,"Tyler Bunz","Bunz","Tyler",34,"EDM","G","L","1992-02-11","Regina","CAN","SK","CAN",73,205,2010,5,121,1,0,0,0,0,0
20022003,"Sean Burke","Burke","Sean",1,"PHX","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,22,22,12,6,2,0
20032004,"Sean Burke","Burke","Sean",1,"PHX, PHI","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,47,42,16,20,7,0
20052006,"Sean Burke","Burke","Sean",1,"TBL","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,35,27,14,10,0,4
20062007,"Sean Burke","Burke","Sean",1,"LAK","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,23,23,6,10,0,5
20132014,"Jack Campbell","Campbell","Jack",1,"DAL","G","L","1992-01-09","PortHuron","USA","MI","USA",75,200,2010,1,11,1,1,0,1,0,0
